time_s,resultant
217.47,3.556128009
217.48,2.180351093
217.49,0.579219229
217.5,0.99635526
217.51,0.762743385
217.52,1.601629715
217.53,1.465814159
217.54,0.816314735
217.55,0.874286709
217.56,0.98216706
217.57,0.778806242
217.58,0.536867983
217.59,0.578607554
217.6,0.583353487
217.61,0.457646502
217.62,0.340998112
217.63,0.250314015
217.64,0.13744379
217.65,0.16958864
217.66,0.362095226
217.67,0.617956328
217.68,0.876887661
217.69,1.061796707
217.7,1.21886103
217.71,1.332221964
217.72,1.398135084
217.73,1.372325301
217.74,1.254034642
217.75,1.047028166
217.76,0.873467913
217.77,0.745819584
217.78,0.684612788
217.79,0.764033879
217.8,0.922861825
217.81,1.064478985
217.82,1.077477475
217.83,0.897298051
217.84,0.294579462
217.85,2.292178229
217.86,3.413986012
217.87,1.717598301
217.88,0.543111903
217.89,1.164971993
217.9,1.359525395
217.91,2.408605693
217.92,1.517630878
217.93,0.525342982
217.94,0.888144301
217.95,1.180740998
217.96,0.841781792
217.97,0.73154541
217.98,0.634509863
217.99,0.607418687
218,0.493045337
218.01,0.347783398
218.02,0.233053492
218.03,0.158021696
218.04,0.149954502
218.05,0.246329624
218.06,0.370245394
218.07,0.566500728
218.08,0.821021724
218.09,1.044533703
218.1,1.138250027
218.11,1.208983449
218.12,1.221849583
218.13,1.232816462
218.14,1.00892527
218.15,0.702898269
218.16,0.661930679
218.17,0.820590003
218.18,0.956832722
218.19,1.050760598
218.2,1.104763442
218.21,1.014099245
218.22,0.598205823
218.23,0.911798239
218.24,3.188407086
218.25,2.163499005
218.26,1.031144479
218.27,0.541496816
218.28,0.72553209
218.29,1.451551652
218.3,1.105133877
218.31,0.936604296
218.32,0.943896843
218.33,0.874321802
218.34,0.668471806
218.35,0.519691556
218.36,0.495034412
218.37,0.445219916
218.38,0.398325173
218.39,0.349245273
218.4,0.281878898
218.41,0.154790161
218.42,0.183208288
218.43,0.331483358
218.44,0.548342937
218.45,0.756158388
218.46,1.116285848
218.47,1.284577004
218.48,1.380385508
218.49,1.475306743
218.5,1.496842494
218.51,1.364868638
218.52,1.015532429
218.53,0.763585535
218.54,0.693392191
218.55,0.774248715
218.56,0.861162938
218.57,0.92365131
218.58,0.953878545
218.59,0.863235469
218.6,0.517391326
218.61,1.134327981
218.62,4.390109348
218.63,1.788593252
218.64,1.142095929
218.65,1.229116346
218.66,1.114358261
218.67,2.135921688
218.68,1.647066383
218.69,0.762362603
218.7,0.946984355
218.71,1.031155011
218.72,0.780622293
218.73,0.697258729
218.74,0.716700593
218.75,0.668217708
218.76,0.504158899
218.77,0.387193192
218.78,0.298324845
218.79,0.182751552
218.8,0.233023235
218.81,0.342409975
218.82,0.492364873
218.83,0.724582442
218.84,0.971360935
218.85,1.164927823
218.86,1.312784355
218.87,1.336143045
218.88,1.211294002
218.89,0.980436397
218.9,0.713723651
218.91,0.605940567
218.92,0.681351578
218.93,0.895988032
218.94,1.075484324
218.95,1.14774651
218.96,1.127279301
218.97,0.888770309
218.98,0.367702664
218.99,2.841061852
219,2.117310705
219.01,0.848875765
219.02,0.58677754
219.03,1.425501003
219.04,0.907036381
219.05,1.819029697
219.06,1.201908349
219.07,0.706178679
219.08,1.048804855
219.09,0.958698438
219.1,0.692813062
219.11,0.613510556
219.12,0.529441262
219.13,0.441219227
219.14,0.327666373
219.15,0.222769409
219.16,0.201299056
219.17,0.155919986
219.18,0.139990629
219.19,0.264809542
219.2,0.584194594
219.21,0.837707279
219.22,0.992036622
219.23,1.204909648
219.24,1.365447731
219.25,1.467444744
219.26,1.477646422
219.27,1.35028487
219.28,1.156256394
219.29,0.948536971
219.3,0.758825375
219.31,0.680350125
219.32,0.761120638
219.33,0.934603499
219.34,0.983176379
219.35,0.802886372
219.36,0.273147971
219.37,2.611017797
219.38,2.865331435
219.39,1.018224156
219.4,0.972817813
219.41,0.583735674
219.42,1.559421684
219.43,1.496556856
219.44,0.844004502
219.45,0.853867874
219.46,1.067748264
219.47,0.942813149
219.48,0.798292596
219.49,0.797050597
219.5,0.685843465
219.51,0.608074548
219.52,0.571090554
219.53,0.42963055
219.54,0.216914201
219.55,0.118778602
219.56,0.311108925
219.57,0.609701699
219.58,0.850205199
219.59,0.990643952
219.6,1.06802989
219.61,1.208555477
219.62,1.171216881
219.63,0.973157252
219.64,0.838455928
219.65,0.829573563
219.66,0.851802807
219.67,0.852813529
219.68,0.887887082
219.69,0.962323563
219.7,1.060503799
219.71,1.190338717
219.72,1.127979383
219.73,0.834996242
219.74,0.180813425
219.75,2.970987658
219.76,3.348470232
219.77,1.277760831
219.78,0.470660616
219.79,0.514357118
219.8,1.099385795
219.81,1.501473374
219.82,1.207998806
219.83,0.969716311
219.84,0.742525985
219.85,0.57915387
219.86,0.528114954
219.87,0.530558235
219.88,0.499309572
219.89,0.466555366
219.9,0.38781519
219.91,0.268532834
219.92,0.117322115
219.93,0.204132376
219.94,0.399554471
219.95,0.617260703
219.96,0.831122316
219.97,1.02199463
219.98,1.285452387
219.99,1.378843137
220,1.405977918
220.01,1.390577288
220.02,1.326697803
220.03,1.163523714
220.04,0.904318376
220.05,0.710317465
220.06,0.655469329
220.07,0.755455102
220.08,0.942503799
220.09,1.025397933
220.1,0.82328042
220.11,0.427702941
220.12,2.416339458
220.13,2.762773166
220.14,1.147526551
220.15,0.795983892
220.16,0.38136385
220.17,1.375069715
220.18,1.817534692
220.19,1.003858979
220.2,0.796464479
220.21,1.042656624
220.22,1.004915533
220.23,0.821775203
220.24,0.719174849
220.25,0.644141657
220.26,0.606554551
220.27,0.524027932
220.28,0.35512774
220.29,0.27640995
220.3,0.208757245
220.31,0.310960033
220.32,0.487716497
220.33,0.682415769
220.34,0.87508831
220.35,1.050427489
220.36,1.209889188
220.37,1.274935515
220.38,1.231598657
220.39,1.021005408
220.4,0.851711453
220.41,0.780529437
220.42,0.75410516
220.43,0.769676083
220.44,0.842282087
220.45,0.959935397
220.46,1.05377179
220.47,1.08209663
220.48,0.884121886
220.49,0.172908829
220.5,2.476239058
220.51,2.841511456
220.52,1.455591752
220.53,0.824597119
220.54,0.620269615
220.55,1.043868153
220.56,1.498465577
220.57,1.220702692
220.58,0.93571356
220.59,0.74645397
220.6,0.612013883
220.61,0.545266363
220.62,0.513511165
220.63,0.464163982
220.64,0.406998877
220.65,0.306297561
220.66,0.183219686
220.67,0.069685461
220.68,0.142106789
220.69,0.374450425
220.7,0.583035927
220.71,0.786703941
220.72,0.961336908
220.73,1.155032844
220.74,1.350553139
220.75,1.538304768
220.76,1.571228427
220.77,1.378347581
220.78,1.070949808
220.79,0.739916002
220.8,0.541146095
220.81,0.576051508
220.82,0.789541005
220.83,0.972180131
220.84,1.032554325
220.85,0.788652497
220.86,0.945118353
220.87,2.841172431
220.88,2.110867273
220.89,0.643470717
220.9,0.735778169
220.91,0.476816346
220.92,1.722403331
220.93,1.491806852
